"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDist:OrderClass","logDist:Region","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"1341",-1.89595860205302,NA,NA,"+",-0.118794785745844,"+","+","+",NA,NA,"+",NA,"+",NA,0.249220220400375,19,-844.97485190337,1729.07064775954,0,0.0861071155360266
"317",-1.92113726056836,NA,NA,"+",-0.101228682499937,"+","+","+",NA,NA,"+",NA,NA,NA,0.241602162309822,16,-848.186743223518,1729.17231170401,0.101663944468555,0.0818395054289663
"829",-1.98810844660332,NA,NA,"+",-0.0468061624916951,"+","+","+",NA,NA,"+","+",NA,NA,0.24907453799966,19,-845.036551912381,1729.19404777757,0.123400018022949,0.08095488641727
"1343",-2.52449419880283,NA,"+","+",-0.121573908984897,"+","+","+",NA,NA,"+",NA,"+",NA,0.256015040821969,22,-842.084894794185,1729.66904884763,0.598401088086575,0.0638407375815506
"1311",-2.95671022632103,NA,"+","+",-0.126830589430116,"+","+",NA,NA,NA,"+",NA,"+",NA,0.249866884237092,20,-844.700842428874,1730.64245295228,1.57180519274152,0.0392397182439164
"831",-2.5650361236807,NA,"+","+",-0.0466264937673179,"+","+","+",NA,NA,"+","+",NA,NA,0.254858687142624,22,-842.578405263709,1730.65606978668,1.58542202713579,0.0389734652805432
"319",-2.47113371200724,NA,"+","+",-0.100599712234992,"+","+","+",NA,NA,"+",NA,NA,NA,0.246942675679561,19,-845.938201475761,1730.99734690433,1.92669914478302,0.0328595519803895
"1342",-1.78831670919273,"+",NA,"+",-0.131319870628752,"+","+","+",NA,NA,"+",NA,"+",NA,0.253929379652508,22,-842.974511441786,1731.44828214283,2.37763438328966,0.0262266182579558
"1344",-2.52150031893103,"+","+","+",-0.134414031337598,"+","+","+",NA,NA,"+",NA,"+",NA,0.261150743701717,25,-839.884599486717,1731.70372278296,2.63307502341604,0.0230820333767711
"830",-1.91846734290517,"+",NA,"+",-0.0462735323529733,"+","+","+",NA,NA,"+","+",NA,NA,0.253550247569188,22,-843.135982916412,1731.77122509208,2.7005773325418,0.0223159882720443
"318",-1.84704783762324,"+",NA,"+",-0.101683632117456,"+","+","+",NA,NA,"+",NA,NA,NA,0.245937492816733,19,-846.362526625868,1731.84599720454,2.7753494449953,0.0214970846489501
"61",-1.87060098978812,NA,NA,"+",-0.13419854655936,"+","+","+",NA,NA,NA,NA,NA,NA,0.232983323084465,14,-851.785292918604,1732.18551995141,3.11487219186779,0.0181406623051761
"2365",-1.88060793774538,NA,NA,"+",-0.107242300287008,"+","+","+",NA,NA,"+",NA,NA,"+",0.24297204506731,18,-847.611354936887,1732.23007364402,3.15942588448161,0.017741013543387
"573",-1.94212569929226,NA,NA,"+",-0.072220518529209,"+","+","+",NA,NA,NA,"+",NA,NA,0.240222048887176,17,-848.765470973507,1732.43094194701,3.36029418747239,0.0160457650826019
"799",-3.03801131487749,NA,"+","+",-0.0492862319490711,"+","+",NA,NA,NA,"+","+",NA,NA,0.247580464530003,20,-845.668699263332,1732.5781666212,3.50751886165654,0.0149070256191513
"1312",-3.00983580312352,"+","+","+",-0.139233733897831,"+","+",NA,NA,NA,"+",NA,"+",NA,0.255095207571452,23,-842.477519453585,1732.59302110302,3.5223733434741,0.0147967176974828
"382",-1.90177038198572,"+",NA,"+",-0.0766332918573652,"+","+","+","+",NA,"+",NA,NA,NA,0.252491571610603,22,-843.586475385972,1732.6722100312,3.60156227166135,0.0142222965804574
"1085",-1.89358065769158,NA,NA,"+",-0.126445992034387,"+","+","+",NA,NA,NA,NA,"+",NA,0.239864834241021,17,-848.915106819863,1732.73021363973,3.65956588018435,0.0138157481335385
"832",-2.60047230943263,"+","+","+",-0.0470561711217776,"+","+","+",NA,NA,"+","+",NA,NA,0.259921558144603,25,-840.412485043406,1732.75949389634,3.68884613679393,0.0136149571971095
"3389",-1.87659477793441,NA,NA,"+",-0.13316806138375,"+","+","+",NA,NA,"+",NA,"+","+",0.249744486817548,21,-844.752722132515,1732.87230817036,3.80166041081361,0.0128682346620898
"384",-2.58523343258914,"+","+","+",-0.0753494795539595,"+","+","+","+",NA,"+",NA,NA,NA,0.25973117405715,25,-840.494175954638,1732.9228757188,3.85222795925756,0.0125469558083829
"1087",-2.52308976006713,NA,"+","+",-0.127862734379189,"+","+","+",NA,NA,NA,NA,"+",NA,0.247094858713036,20,-845.873914355155,1732.98859680484,3.91794904530161,0.0121413566289154
"320",-2.48944762809562,"+","+","+",-0.101218596200711,"+","+","+",NA,NA,"+",NA,NA,NA,0.251943355386516,22,-843.819526450647,1733.13831216055,4.06766440101183,0.0112656677675776
"2877",-1.97880145861777,NA,NA,"+",-0.0646372173656655,"+","+","+",NA,NA,"+","+",NA,"+",0.24930616758117,21,-844.938446083562,1733.24375607245,4.1731083129082,0.010687105211008
"575",-2.52791347366825,NA,"+","+",-0.0708058040481049,"+","+","+",NA,NA,NA,"+",NA,NA,0.246605802970799,20,-846.080465486469,1733.40169906747,4.33105130793138,0.00987559336669063
"63",-2.43479585329374,NA,"+","+",-0.13195950362032,"+","+","+",NA,NA,NA,NA,NA,NA,0.239013449723489,17,-849.271490063075,1733.44298012615,4.37233236660813,0.009673845149608
"3391",-2.51481236713524,NA,"+","+",-0.147724046251723,"+","+","+",NA,NA,"+",NA,"+","+",0.256563321254118,24,-841.850654684093,1733.48437028943,4.41372252989163,0.00947570150569296
"783",-3.19295338382997,NA,"+","+",-0.0520538337346931,"+",NA,NA,NA,NA,"+","+",NA,NA,0.238815276137913,17,-849.354391868771,1733.60878373754,4.53813597799945,0.00890420878113223
"447",-2.54504487867259,NA,"+","+",-0.0907217410188903,"+","+","+",NA,"+","+",NA,NA,NA,0.251220856390851,22,-844.126428996317,1733.75211725189,4.68146949235143,0.00828840296424163
"287",-2.99217266768522,NA,"+","+",-0.100772059038723,"+","+",NA,NA,NA,"+",NA,NA,NA,0.238636176919942,17,-849.429297371848,1733.7585947437,4.68794698415331,0.00826160235672171
"1853",-1.93168182540632,NA,NA,"+",-0.0717500386671407,"+","+","+",NA,NA,"+","+","+",NA,0.25062048626463,22,-844.381248590001,1734.26175643926,5.19110867971904,0.00642397902059825
"2367",-2.42646921784446,NA,"+","+",-0.106474789065587,"+","+","+",NA,NA,"+",NA,NA,"+",0.247892102034862,21,-845.53693889397,1734.44074169326,5.3700939337225,0.00587405434107258
"128",-2.54902865886987,"+","+","+",-0.102877943781835,"+","+","+","+",NA,NA,NA,NA,NA,0.252911825231057,23,-843.407716803779,1734.4534158034,5.38276804386169,0.00583694783240353
"1055",-2.98067380191576,NA,"+","+",-0.130999225543364,"+","+",NA,NA,NA,NA,NA,"+",NA,0.24031331972248,18,-848.727227677613,1734.46181912548,5.3911713659345,0.00581247440664869
"800",-3.14312464132943,"+","+","+",-0.0483011862247742,"+","+",NA,NA,NA,"+","+",NA,NA,0.252758800825663,23,-843.472817683946,1734.58361756374,5.51296980419556,0.00546906215144405
"1408",-2.59156861881308,"+","+","+",-0.115810908915929,"+","+","+","+",NA,"+",NA,"+",NA,0.2652126841461,28,-838.134459237104,1734.69642221113,5.62577445158649,0.00516913221802573
"2879",-2.59165296994477,NA,"+","+",-0.0541369075081177,"+","+","+",NA,NA,"+","+",NA,"+",0.255141350345996,24,-842.457834238992,1734.69872939923,5.62808163968998,0.00516317257601105
"271",-3.17371754624326,NA,"+","+",-0.100839743544182,"+",NA,NA,NA,NA,"+",NA,NA,NA,0.2299085193877,14,-853.060161941587,1734.73525799738,5.66461023783336,0.0050697268063245
"126",-1.8506563417855,"+",NA,"+",-0.106773972874499,"+","+","+","+",NA,NA,NA,NA,NA,0.24496391444811,20,-846.773019094316,1734.78680628317,5.71615852362538,0.00494072849475415
"62",-1.7891049382856,"+",NA,"+",-0.135233544138045,"+","+","+",NA,NA,NA,NA,NA,NA,0.237391273964028,17,-849.949515173643,1734.79903034729,5.72838258774482,0.00491062270130485
"815",-3.14372175980942,NA,"+","+",-0.0512692847619581,"+",NA,"+",NA,NA,"+","+",NA,NA,0.242368853823918,19,-847.86482868093,1734.85060131466,5.7799535551203,0.00478561849283895
"2366",-1.80076654045009,"+",NA,"+",-0.10744033874134,"+","+","+",NA,NA,"+",NA,NA,"+",0.247343699709417,21,-845.768770211533,1734.90440432839,5.83375656884914,0.00465859437462337
"1855",-2.55325868237265,NA,"+","+",-0.0767679357268991,"+","+","+",NA,NA,"+","+","+",NA,0.25733039825975,25,-841.522674741184,1734.97987329189,5.90922553234986,0.00448608006882028
"574",-1.86540936201163,"+",NA,"+",-0.0719897603044392,"+","+","+",NA,NA,NA,"+",NA,NA,0.24473100082888,20,-846.871151561825,1734.98307121818,5.91242345864248,0.00447891272380617
"2109",-1.83424708081912,NA,NA,"+",-0.14250701064113,"+","+","+",NA,NA,NA,NA,NA,"+",0.234482006239648,16,-851.162219705691,1735.12326466836,6.05261690881412,0.00417570662845895
"1086",-1.78215475712046,"+",NA,"+",-0.14037818109146,"+","+","+",NA,NA,NA,NA,"+",NA,0.244470092150596,20,-846.981046306781,1735.2028607081,6.1322129485543,0.00401278525066071
"1406",-1.82175412918455,"+",NA,"+",-0.112512102328815,"+","+","+","+",NA,"+",NA,"+",NA,0.257033403200056,25,-841.649697808426,1735.23391942638,6.16327166683323,0.00395095063599265
"1088",-2.5138264828042,"+","+","+",-0.140912424065275,"+","+","+",NA,NA,NA,NA,"+",NA,0.251954334806898,23,-843.814860538813,1735.26770327347,6.19705551393054,0.00388477199576478
"3390",-1.76764545000993,"+",NA,"+",-0.148211022917558,"+","+","+",NA,NA,"+",NA,"+","+",0.254453811894321,24,-842.751033753949,1735.28512842915,6.21448066960397,0.00385107263470043
"1471",-2.50719422737047,NA,"+","+",-0.137364899450985,"+","+","+",NA,"+","+",NA,"+",NA,0.256874653124047,25,-841.717575341038,1735.3696744916,6.29902673205788,0.00369166909364955
"1376",-3.07359652618998,"+","+","+",-0.120643854263523,"+","+",NA,"+",NA,"+",NA,"+",NA,0.259338483882338,26,-840.662612954245,1735.41762531237,6.34697755282332,0.00360421240639903
"352",-3.15375364161451,"+","+","+",-0.0727725092850031,"+","+",NA,"+",NA,"+",NA,NA,NA,0.251760790424942,23,-843.897101734487,1735.43218566482,6.36153790527806,0.00357806838692553
"415",-3.03955046574029,NA,"+","+",-0.0895242129993722,"+","+",NA,NA,"+","+",NA,NA,NA,0.244132836714493,20,-847.123047053832,1735.4868622022,6.41621444265638,0.00348157518027105
"3392",-2.51484499086507,"+","+","+",-0.163987544977357,"+","+","+",NA,NA,"+",NA,"+","+",0.261737382287501,27,-839.6323801566,1735.52147673111,6.45082897156863,0.00342183708060878
"576",-2.55340597996386,"+","+","+",-0.0708968832269091,"+","+","+",NA,NA,NA,"+",NA,NA,0.251518831693781,23,-843.999887984134,1735.63775816411,6.5671104045723,0.00322856203733181
"64",-2.44321896306837,"+","+","+",-0.132730629466057,"+","+","+",NA,NA,NA,NA,NA,NA,0.243940421761744,20,-847.204037118637,1735.64884233181,6.57819457226651,0.00321071856649247
