"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDistxOrderClass","logDistxRegion","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"6701",-0.269629594235141,"+",NA,"+",-0.240128512891289,NA,"+","+",NA,NA,"+",NA,NA,"+",0.33545048249797,17,-347.892539723917,732.223326459787,15.7761254016301,5.09971019401856e-05
"190",-1.19229792438354,"+",NA,"+",-0.194798778097272,"+",NA,"+","+",NA,"+",NA,NA,NA,0.335105633033204,17,-347.957065212597,732.352377437147,15.9051763789902,4.78104061519519e-05
"6081",-0.0122869467636173,"+","+","+",-0.25993417036112,NA,"+","+",NA,"+",NA,NA,NA,"+",0.359519557526861,21,-343.310681635738,732.362253959736,15.9150529015792,4.7574887877786e-05
"1281",-0.00672922879855679,"+","+","+",-0.247203934028988,NA,"+","+","+","+",NA,NA,NA,NA,0.359462631875465,21,-343.32170440592,732.384299500099,15.9370984419425,4.70533604413484e-05
"302",-1.30971533220837,"+",NA,"+",-0.379141737752618,"+",NA,NA,"+",NA,NA,"+",NA,NA,0.328530657560458,16,-349.181437499978,732.521605158685,16.0744041005288,4.39314057372636e-05
"71",-0.63589572696847,NA,"+","+",-0.256359091469442,NA,NA,NA,NA,"+",NA,NA,NA,NA,0.304011344410774,12,-353.651520588277,732.521791176553,16.0745901183967,4.39273199140606e-05
"664",-0.751245372591039,"+","+","+",-0.255423922881502,NA,NA,"+",NA,NA,"+",NA,NA,"+",0.334652118924834,17,-348.041876068272,732.521999148497,16.0747980903406,4.39227523264922e-05
"4001",-0.780016025744682,"+","+","+",-0.100788618226433,NA,"+",NA,NA,NA,"+",NA,"+",NA,0.346879342669958,19,-345.736358297348,732.524925430037,16.0777243718804,4.38585341484089e-05
"798",-1.08974557587843,"+",NA,"+",-0.384503256560887,"+",NA,"+",NA,NA,NA,"+",NA,"+",0.34055162812713,18,-346.934420418012,732.604840836025,16.1576397778681,4.21405988099656e-05
"331",-0.770839946789837,NA,"+",NA,-0.31743725798436,"+",NA,NA,NA,"+",NA,"+",NA,NA,0.328130235206009,16,-349.255644117559,732.670018393849,16.2228173356926,4.07894242959104e-05
